timestamp,air_temperature_01209E52_avg,air_temperature_01209E52_max,air_temperature_01209E52_min,dew_point_01209E52_avg,dew_point_01209E52_min,vpd_01209E52_avg,vpd_01209E52_min,relative_humidity_01209E52_avg,relative_humidity_01209E52_max,relative_humidity_01209E52_min,precipitation_01209E52_sum,deltaT_01209E52_avg,deltaT_01209E52_max,deltaT_01209E52_min
2023-09-26 11:00:00,13.21,14.22,12.49,10.6,10.3,0.23,0.14,84.62,89.74,79.95,0,1,2,1
2023-09-26 10:00:00,11.66,12.32,11.03,10.5,10.3,0.09,0.05,92.98,95.82,88.91,0,1,1,0
2023-09-26 09:00:00,10.75,11.1,10.47,10.2,10.1,0.03,0.01,97.15,98.65,94.7,0,0,0,0
2023-09-26 08:00:00,10.26,10.48,10.01,10,10,0,0,99.1,100,97.32,0,0,0,0
2023-09-26 07:00:00,9.81,9.95,9.62,9.7,9.6,0,0,99.98,99.99,99.98,0,0,0,0
2023-09-26 06:00:00,9.87,10.05,9.68,9.8,9.6,0,0,99.98,99.99,99.98,0,0,0,0
2023-09-26 05:00:00,10.2,10.53,9.99,10.1,9.9,0,0,99.92,100,99.17,0,0,0,0
2023-09-26 04:00:00,10.72,11.08,10.38,10.3,10.3,0.02,0,97.81,100,95.5,0,0,0,0
2023-09-26 03:00:00,11.2,11.46,10.91,10.3,10.3,0.06,0.04,94.59,96.44,92.73,0,0,1,0
2023-09-26 02:00:00,11.76,12.08,11.59,10.1,10.1,0.12,0.1,90.39,92.14,87.99,0,1,1,1
2023-09-26 01:00:00,12.28,12.64,12,10,10,0.18,0.16,86.52,88.2,84.3,0,1,1,1
2023-09-26 00:00:00,12.94,13.17,12.63,9.7,9.4,0.27,0.23,80.97,84.2,78.12,0,2,2,1
2023-09-25 23:00:00,13.52,13.76,13.36,9.2,9.1,0.37,0.35,75.59,76.92,73.67,0,2,3,2
2023-09-25 22:00:00,14.57,15.12,13.84,8.6,8.4,0.53,0.42,67.69,73.07,65.2,0,3,4,3
2023-09-25 21:00:00,15.39,15.91,15.02,9.2,8.7,0.57,0.54,66.9,68.19,64.56,0,3,4,3
2023-09-25 20:00:00,16.5,17.06,15.89,8.9,8.8,0.72,0.63,61.13,64.65,58.97,0,4,4,4
2023-09-25 19:00:00,18.11,18.9,17.3,9.1,8.8,0.9,0.83,56.07,57.68,53.09,0,5,5,5
2023-09-25 18:00:00,19.68,20.2,19.1,9,8.5,1.13,1.03,50.34,53.39,47.85,0,6,6,5
2023-09-25 17:00:00,20.66,21.07,20.28,8.6,8.2,1.3,1.24,46.25,47.57,44.55,0,7,7,6
2023-09-25 16:00:00,21,21.19,20.86,8.7,7.9,1.34,1.27,45.69,48.84,43.38,0,7,7,6
2023-09-25 15:00:00,20.91,21.24,20.7,9.2,7.9,1.29,1.23,47.35,50.15,43.82,0,7,7,6
2023-09-25 14:00:00,20.54,20.79,20.2,9.2,8.3,1.24,1.18,48.33,50.39,45.38,0,6,7,6
2023-09-25 13:00:00,19.42,19.86,18.51,10.2,9.3,1,0.83,55.47,60.93,50.66,0,5,6,4
2023-09-25 12:00:00,18.07,18.61,17.36,10.8,10.2,0.76,0.7,62.86,65.72,59.72,0,4,5,4
2023-09-25 11:00:00,17.05,17.74,16.36,10.5,10,0.66,0.59,65.78,68,63.64,0,4,4,3
2023-09-25 10:00:00,15.63,16.26,15.02,10.3,10.1,0.51,0.43,70.89,74.24,67.22,0,3,3,3
2023-09-25 09:00:00,14.1,14.93,13.34,10,9.7,0.36,0.31,77.12,79.8,74.19,0,2,3,2
2023-09-25 08:00:00,12.54,13.17,12.08,9.5,9.4,0.25,0.21,82.34,84.4,79.69,0,2,2,1
2023-09-25 07:00:00,12.21,12.48,12.07,9.2,9.1,0.24,0.23,82.43,83.43,80.62,0,2,2,2
2023-09-25 06:00:00,12.37,12.67,12.02,9.5,9.3,0.23,0.22,83.06,84.33,82.04,0,2,2,1
2023-09-25 05:00:00,12.96,13.13,12.78,10.6,9.9,0.2,0.12,85.98,91.73,81.91,0,1,2,1
2023-09-25 04:00:00,13.62,14.22,12.89,12.4,11.9,0.1,0.08,92.9,94.49,90.2,0,1,1,0
2023-09-25 03:00:00,13.99,14.37,13.52,13.6,13.3,0.02,0,98.03,99.99,94.21,0,0,0,0
2023-09-25 02:00:00,15.06,15.9,14.39,12.8,11.8,0.22,0.1,86.84,93.45,76.89,0,1,2,1
2023-09-25 01:00:00,16.64,17.03,16.38,13.8,12,0.29,0.04,83.94,97.54,75,0,2,3,0
2023-09-25 00:00:00,16.47,16.8,15.53,16.4,15.5,0,0,99.88,100,98.83,0,0,0,0
2023-09-24 23:00:00,15.57,16.13,14.75,15.5,14.7,0,0,99.96,99.99,99.95,0,0,0,0
2023-09-24 22:00:00,15.34,15.83,14.98,15.2,14.9,0,0,99.95,99.97,99.95,0,0,0,0
2023-09-24 21:00:00,16.22,17.67,15.41,16,15.4,0.01,0,99.43,99.99,95.21,0,0,0,0
2023-09-24 20:00:00,19.1,20.68,17.81,16.2,15.8,0.35,0.12,84.07,93.92,74.09,0,2,3,1
2023-09-24 19:00:00,21.76,22.63,20.9,15.8,15.7,0.79,0.66,69.47,73.18,65.4,0,4,4,3
2023-09-24 18:00:00,23.45,23.87,22.83,15.3,14.8,1.13,1,60.7,63.98,57.46,0,5,6,5
2023-09-24 17:00:00,24.26,24.51,24,14.9,14.6,1.31,1.28,56.34,57.48,54.95,0,6,6,6
2023-09-24 16:00:00,24.02,24.47,23.53,15.2,14.8,1.24,1.18,58.07,59.47,56.19,0,5,6,5
2023-09-24 15:00:00,23.76,24.26,22.88,15.5,15.1,1.17,1.04,60.09,63.25,57.77,0,5,6,5
2023-09-24 14:00:00,23.22,23.83,22.7,15,14.7,1.12,1,60.26,64.33,57.61,0,5,6,5
2023-09-24 13:00:00,22.3,22.8,21.49,15.8,15.5,0.88,0.74,67.07,71.05,64.9,0,4,4,4
2023-09-24 12:00:00,21.09,21.92,20.3,16,15.3,0.66,0.52,73.26,77.79,69.63,0,3,4,3
2023-09-24 11:00:00,19.08,20.09,18.13,15.4,14.9,0.44,0.35,79.52,82.94,75.3,0,2,3,2
2023-09-24 10:00:00,16.99,18.37,15.97,15,14.7,0.21,0.11,88.72,93.87,82.85,0,1,2,1
2023-09-24 09:00:00,14.34,15.81,12.56,14.1,12.5,0.01,0,99.04,99.99,95.39,0,0,0,0
2023-09-24 08:00:00,11.2,12.36,10.2,11.1,10.1,0,0,99.91,99.93,99.89,0,0,0,0
2023-09-24 07:00:00,10.21,10.45,9.58,10.1,9.5,0,0,99.89,99.9,99.89,0,0,0,0
2023-09-24 06:00:00,10.76,11.08,9.86,10.7,9.8,0,0,99.89,99.91,99.89,0,0,0,0
2023-09-24 05:00:00,10.88,12.15,10.12,10.8,10.1,0,0,99.91,99.94,99.9,0,0,0,0
2023-09-24 04:00:00,10.81,11.85,9.96,10.7,9.9,0,0,99.89,99.91,99.89,0,0,0,0
2023-09-24 03:00:00,11.32,12.28,10.3,11.2,10.2,0,0,99.91,99.92,99.9,0,0,0,0
2023-09-24 02:00:00,12.13,12.62,11.54,12,11.5,0,0,99.91,99.94,99.9,0,0,0,0
2023-09-24 01:00:00,11.74,12.43,11.22,11.6,11.2,0,0,99.93,99.95,99.91,0,0,0,0
2023-09-24 00:00:00,13.39,13.98,12.42,13.3,12.4,0,0,99.97,100,99.96,0,0,0,0
2023-09-23 23:00:00,14.13,15.46,13.22,13.7,13.1,0.02,0,98.1,100,91.14,0,0,1,0
2023-09-23 22:00:00,16.11,16.89,13.57,13.4,13.1,0.27,0.02,84.86,98.3,80.9,0,2,2,0
2023-09-23 21:00:00,17.15,17.65,15.62,13.7,13.4,0.37,0.06,80.91,96.3,77.56,0,2,2,0
2023-09-23 20:00:00,15.45,16.28,14.82,15,14.6,0.03,0,97.7,100,92.4,0,0,1,0
2023-09-23 19:00:00,18.32,20.17,16.61,14.4,13.1,0.45,0.14,79.02,92.31,64.14,0,2,4,1
2023-09-23 18:00:00,20.64,20.99,20.34,13.4,12.9,0.88,0.84,63.5,65.16,61.12,0,4,5,4
2023-09-23 17:00:00,21.29,21.52,20.93,12.6,12.1,1.05,0.97,58,60.88,55.29,0,5,6,5
2023-09-23 16:00:00,21.67,21.88,21.51,12.6,12.3,1.11,1.01,56.78,60.34,55.08,0,5,6,5
2023-09-23 15:00:00,21.82,22.31,21.34,12.5,11.9,1.14,1.08,55.98,58.69,53.18,0,5,6,5
2023-09-23 14:00:00,21.25,21.88,20.76,12.7,11.6,1.04,0.92,58.39,62.19,54.58,0,5,6,5
2023-09-23 13:00:00,19.95,20.69,19.2,13.5,12.6,0.76,0.62,67,72.7,60.75,0,4,5,3
2023-09-23 12:00:00,17.61,19.09,16.46,13.6,13.3,0.43,0.33,78.05,81.89,71.7,0,2,3,2
2023-09-23 11:00:00,15.52,16.84,14.52,14.2,13.4,0.13,0,92.33,100,84.23,0,1,2,0
2023-09-23 10:00:00,13.1,14.19,12.05,13,12,0,0,99.94,99.96,99.9,0,0,0,0
2023-09-23 09:00:00,10.11,11.82,9.08,10,9,0,0,99.89,99.89,99.89,0,0,0,0
2023-09-23 08:00:00,7.85,9.42,6.64,7.8,6.6,0,0,99.89,99.89,99.89,0,0,0,0
2023-09-23 07:00:00,7.44,8.1,6.72,7.3,6.7,0,0,99.89,99.89,99.89,0,0,0,0
2023-09-23 06:00:00,8.58,9.25,7.8,8.5,7.7,0,0,99.89,99.89,99.89,0,0,0,0
2023-09-23 05:00:00,8.36,8.71,7.78,8.3,7.7,0,0,99.89,99.89,99.89,0,0,0,0
2023-09-23 04:00:00,8.44,9.13,8.09,8.3,8,0,0,99.89,99.9,99.89,0,0,0,0
