timestamp,air_temperature_01209E52_avg,air_temperature_01209E52_max,air_temperature_01209E52_min,dew_point_01209E52_avg,dew_point_01209E52_min,vpd_01209E52_avg,vpd_01209E52_min,relative_humidity_01209E52_avg,relative_humidity_01209E52_max,relative_humidity_01209E52_min,precipitation_01209E52_sum,deltaT_01209E52_avg,deltaT_01209E52_max,deltaT_01209E52_min
2022-11-04 10:00:00,9.82,11.15,8.57,9.4,8.5,0.02,0,97.93,100,91.81,0,0,1,0
2022-11-04 09:00:00,7.51,8.5,6.43,7.4,6.4,0,0,99.94,99.96,99.93,0,0,0,0
2022-11-04 08:00:00,5.88,6.25,5.6,5.8,5.5,0,0,99.93,99.94,99.93,0.2,0,0,0
2022-11-04 07:00:00,6.12,6.74,5.74,6,5.7,0,0,99.93,99.94,99.93,0,0,0,0
2022-11-04 06:00:00,6.26,6.43,6,6.2,5.9,0,0,99.93,99.94,99.93,0,0,0,0
2022-11-04 05:00:00,6.27,6.71,5.87,6.1,5.8,0,0,99.93,99.93,99.93,0,0,0,0
2022-11-04 04:00:00,5.78,6.05,5.63,5.7,5.6,0,0,99.93,99.93,99.93,0,0,0,0
2022-11-04 03:00:00,5.73,6.27,5.52,5.6,5.5,0,0,99.93,99.94,99.93,0,0,0,0
2022-11-04 02:00:00,6.5,6.98,5.92,6.4,5.9,0,0,99.93,99.93,99.93,0,0,0,0
2022-11-04 01:00:00,5.94,7.32,4.64,5.8,4.6,0,0,99.93,99.94,99.93,0,0,0,0
2022-11-04 00:00:00,7.23,7.54,6.95,7.1,6.9,0,0,99.93,99.94,99.93,0,0,0,0
2022-11-03 23:00:00,7.52,8,6.86,7.4,6.8,0,0,99.94,99.94,99.94,0,0,0,0
2022-11-03 22:00:00,8.21,8.89,7.79,8.1,7.7,0,0,99.94,99.95,99.94,0,0,0,0
2022-11-03 21:00:00,9.72,10.64,8.74,9.6,8.7,0,0,99.97,100,99.95,0,0,0,0
2022-11-03 20:00:00,10.08,10.79,9.53,9.9,9.5,0,0,99.47,100,97.32,0,0,0,0
2022-11-03 19:00:00,11.95,13.97,10.29,9.6,9.3,0.19,0.05,86.29,95.58,77.07,0,1,2,0
2022-11-03 18:00:00,15.51,16.82,14.3,10.1,10,0.51,0.39,70.49,75.74,65.31,0,3,4,2
2022-11-03 17:00:00,17.32,17.55,16.81,10.5,10.2,0.69,0.63,64.83,67.75,63.46,0,4,4,4
2022-11-03 16:00:00,16.65,17.14,16.42,11.1,10.7,0.55,0.52,70.41,71.86,68.83,0,3,3,3
2022-11-03 15:00:00,15.24,16.25,14.29,10.7,10.4,0.43,0.36,74.82,78.13,70.8,0,3,3,2
2022-11-03 14:00:00,13.89,14.35,13.59,10.3,10.1,0.31,0.29,79.71,81.32,77.55,0,2,2,2
2022-11-03 13:00:00,13.3,13.93,11.81,10.2,8.8,0.26,0.24,82.12,83.52,80.78,0,2,2,2
2022-11-03 12:00:00,10.87,11.61,9.67,8.4,7.2,0.19,0.15,84.94,87.79,83.14,0,1,2,1
2022-11-03 11:00:00,8.09,9.61,6.83,6,5.6,0.13,0.07,87.45,91.99,83.82,0,1,1,0
2022-11-03 10:00:00,5.71,6.74,4.49,4.6,3.4,0.05,0.03,93.18,95.59,90.74,0,0,1,0
2022-11-03 09:00:00,2.34,4.14,0.56,2.1,0.5,0,0,98.9,100,95.78,0,0,0,-1
2022-11-03 08:00:00,-0.07,0.58,-0.72,0,-0.7,0,0,99.96,99.97,99.95,0,-1,-1,-1
2022-11-03 07:00:00,-0.15,0.27,-0.57,-0.1,-0.5,0,0,99.96,99.99,99.95,0,-1,-1,-1
2022-11-03 06:00:00,0.31,1.45,-0.25,0.2,-0.2,0,0,99.81,100,98.82,0,-1,0,-1
2022-11-03 05:00:00,1.02,1.37,0.59,0.9,0.5,0,0,99.98,100,99.96,0,-1,-1,-1
2022-11-03 04:00:00,0.75,1.29,-0.03,0.6,0,0,0,99.84,100,98.49,0,-1,0,-1
2022-11-03 03:00:00,0.91,1.81,0.3,0.4,0.2,0.01,0,97.35,100,92.04,0,0,0,-1
2022-11-03 02:00:00,1.57,2.06,0.88,0.3,0.1,0.05,0.02,91.95,96.73,87.44,0,0,1,0
2022-11-03 01:00:00,2.52,3.57,1.67,0.3,0,0.09,0.05,85.98,91.44,77.88,0,1,2,0
2022-11-03 00:00:00,4.54,5.73,2.91,-0.4,-0.9,0.25,0.15,69.95,80.06,62.73,0,2,3,1
2022-11-02 23:00:00,5.06,5.93,4.04,0,-0.6,0.25,0.18,70.11,77.82,63.19,0,2,3,2
2022-11-02 22:00:00,5.88,6.7,5.01,0,-0.3,0.3,0.24,66.27,72.01,60.66,0,3,3,2
2022-11-02 21:00:00,5.53,6.45,4.95,0.4,-0.1,0.26,0.2,69.82,76.18,62.71,0,2,3,2
2022-11-02 20:00:00,6.27,6.72,5.61,0.2,-0.4,0.32,0.25,65.43,72.46,61.53,0,3,3,2
2022-11-02 19:00:00,8.26,9.94,6.53,-0.5,-1.7,0.5,0.36,54.01,62.33,44.2,0,4,5,3
2022-11-02 18:00:00,12.49,14.64,10.24,-2.2,-4,0.93,0.7,35.98,43.92,27.34,0,6,8,5
2022-11-02 17:00:00,15.37,15.88,14.65,-3.8,-5,1.28,1.21,26.39,28.23,24.02,0,8,9,8
2022-11-02 16:00:00,15.67,15.98,15.38,-2.6,-4.1,1.27,1.22,28.19,30.45,25.1,0,8,8,8
2022-11-02 15:00:00,15.38,15.8,14.98,-1.8,-2.5,1.2,1.12,30.56,34.1,28.8,0,8,8,7
2022-11-02 14:00:00,14.6,14.95,14.18,-1.1,-2.1,1.09,1.04,33.88,36.97,31.44,0,7,7,7
2022-11-02 13:00:00,13.92,14.46,13.43,-0.1,-1.8,0.97,0.82,38.4,46.95,33.36,0,6,7,5
2022-11-02 12:00:00,13,13.51,12.36,2.1,0.4,0.77,0.54,47.98,62.23,40.85,0,5,6,4
2022-11-02 11:00:00,11.1,12.11,9.87,7.3,6.4,0.28,0.12,78.2,89.8,68.53,0,2,3,1
2022-11-02 10:00:00,8.64,9.63,7.66,8.2,7.6,0.02,0,97.78,99.99,91.24,0,0,1,0
2022-11-02 09:00:00,6.12,7.53,4.94,6,4.9,0,0,99.95,99.97,99.95,0,0,0,0
2022-11-02 08:00:00,4.36,4.82,3.4,4.3,3.3,0,0,99.94,99.95,99.93,0,0,0,0
