timestamp,air_temperature_00209FC8_avg,air_temperature_00209FC8_max,air_temperature_00209FC8_min,dew_point_00209FC8_avg,dew_point_00209FC8_min,solar_radiation_00209FC8_avg,vpd_00209FC8_avg,vpd_00209FC8_min,relative_humidity_00209FC8_avg,relative_humidity_00209FC8_max,relative_humidity_00209FC8_min,precipitation_00209FC8_sum,leaf_wetness_00209FC8_time,deltaT_00209FC8_avg,deltaT_00209FC8_max,deltaT_00209FC8_min
2021-09-14 10:00:00,15.71,16.47,14.97,11.2,10.9,524,0.44,0.39,75.04,77.07,71.42,0,0,3,3,2
2021-09-14 09:00:00,13.99,14.75,12.87,11,10.7,375,0.27,0.13,82.91,90.68,78.76,0,0,2,2,1
2021-09-14 08:00:00,10.42,12.52,8.67,10.2,8.6,123,0,0,99.5,99.99,94.59,0,0,0,0,0
2021-09-14 07:00:00,8.1,8.6,7.6,8,7.5,0,0,0,99.99,99.99,99.99,0,0,0,0,0
2021-09-14 06:00:00,7.96,8.56,7.51,7.9,7.5,0,0,0,99.99,99.99,99.99,0,0,0,0,0
2021-09-14 05:00:00,9.18,9.81,8.6,9.1,8.5,0,0,0,99.99,100,99.99,0,0,0,0,0
2021-09-14 04:00:00,10.12,10.78,9.65,9.9,9.6,0,0,0,99.46,100,97.5,0,0,0,0,0
2021-09-14 03:00:00,11.87,12.14,11.24,11.4,10.8,0,0.03,0.03,97.51,97.82,97.27,0,0,0,0,0
2021-09-14 02:00:00,11.94,12.07,11.75,11.5,11.3,0,0.03,0.02,97.41,97.97,96.67,0,0,0,0,0
2021-09-14 01:00:00,11.36,11.75,10.99,10.8,10.6,0,0.03,0.02,96.87,97.84,95.32,0,0,0,0,0
2021-09-14 00:00:00,10.66,11.02,10.07,10,9.4,0,0.04,0.02,96.46,97.81,94.84,0,0,0,0,0
2021-09-13 23:00:00,12.26,13.64,11.3,10.1,9.9,0,0.17,0.08,87.48,93.97,80.74,0,0,1,2,0
2021-09-13 22:00:00,13.8,14.32,13.39,10.1,10,0,0.32,0.28,79.14,81.2,75.71,0,0,2,2,2
2021-09-13 21:00:00,15.47,16.24,14.57,9.8,9.6,0,0.53,0.41,69.39,74.92,65.08,0,0,3,4,3
2021-09-13 20:00:00,17.13,17.94,16.45,9.9,9.4,0,0.72,0.67,62.69,64.2,60.38,0,0,4,4,4
2021-09-13 19:00:00,18.99,19.87,17.97,9.5,8.8,55,0.99,0.81,54.56,60.47,49.47,0,0,5,6,4
2021-09-13 18:00:00,20.54,20.94,20.11,9.7,9.4,182,1.2,1.13,50.11,52.01,48.34,0,0,6,6,6
2021-09-13 17:00:00,20.56,21.18,19.91,10.1,9.7,123,1.17,1.09,51.4,54.15,48.48,0,0,6,6,6
2021-09-13 16:00:00,21.06,21.43,20.37,10.2,9.7,189,1.23,1.13,50.34,53.2,47.86,0,0,6,7,6
2021-09-13 15:00:00,21.1,21.88,20.24,10.7,10.2,526,1.2,1.07,51.76,54.82,49.12,0,0,6,6,5
2021-09-13 14:00:00,21.66,22.55,20.28,11.5,10.7,852,1.21,1.07,52.92,56.27,50.16,0,0,6,6,5
2021-09-13 13:00:00,21.68,22.16,21.08,11.6,11.1,968,1.21,1.06,53.11,57.27,49.77,0,0,6,6,5
2021-09-13 12:00:00,20.61,21.14,20,11.6,11,892,1.04,0.92,56.84,60.35,53.38,0,0,5,6,5
2021-09-13 11:00:00,19.56,20.52,18.49,12.7,12.2,765,0.79,0.66,65.13,68.9,62.24,0,0,4,4,4
2021-09-13 10:00:00,17.73,18.39,17.02,12.6,12,599,0.55,0.43,72.62,77.82,66.35,0,0,3,4,2
2021-09-13 09:00:00,15.36,16.85,13.99,12.6,12.2,393,0.27,0.17,84.39,89.23,78.31,0,0,2,2,1
2021-09-13 08:00:00,12.67,13.79,11.71,11.5,11.2,171,0.09,0.04,93.38,97.06,89.68,0,0,1,1,0
2021-09-13 07:00:00,12.08,12.48,11.6,11.4,11.1,0,0.05,0.03,95.94,97.66,94.32,0,0,0,0,0
2021-09-13 06:00:00,12.25,12.55,11.53,11.4,11.2,0,0.06,0,95.06,99.68,93.4,0,0,0,0,0
2021-09-13 05:00:00,11.05,11.55,10.33,11,10.3,0,0,0,99.99,100,99.99,0,0,0,0,0
2021-09-13 04:00:00,12.5,13.4,11.76,12.1,11.7,0,0.02,0,98.04,100,95.89,0,0,0,0,0
2021-09-13 03:00:00,13.28,13.53,13.08,12.8,12.7,0,0.03,0.02,97.65,98.53,96.05,0,0,0,0,0
2021-09-13 02:00:00,14.36,15.18,13.58,13.4,13.2,0,0.08,0.03,94.64,97.72,88.01,0,0,0,1,0
2021-09-13 01:00:00,15.1,15.36,14.85,13.3,12.6,0,0.17,0.11,89.28,93.02,83.84,0,0,1,2,1
2021-09-13 00:00:00,14.53,15.06,14.24,13.3,13.1,0,0.1,0.08,93.15,94.81,90.28,0,0,1,1,0
