timestamp,FN2O_C4_broadcast_side_strip_with_inhibitor
2023-07-07 16:00:00,72.6472
2023-07-07 16:30:00,64.7383
2023-07-07 17:00:00,58.5303
2023-07-07 17:30:00,55.8542
2023-07-07 18:00:00,55.8382
2023-07-07 18:30:00,50.8422
2023-07-07 19:00:00,52.5378
2023-07-07 19:30:00,52.1363
2023-07-07 20:00:00,52.5288
2023-07-07 20:30:00,51.4875
2023-07-07 21:00:00,54.0001
2023-07-07 21:30:00,47.3697
2023-07-07 22:00:00,49.0841
2023-07-07 22:30:00,52.1663
2023-07-07 23:00:00,47.6132
2023-07-07 23:30:00,44.8579
2023-07-08 00:00:00,42.4182
2023-07-08 00:30:00,43.1113
2023-07-08 01:00:00,43.6158
2023-07-08 01:30:00,41.4414
2023-07-08 02:00:00,45.5939
2023-07-08 02:30:00,47.6953
2023-07-08 03:00:00,44.8963
2023-07-08 03:30:00,52.6306
2023-07-08 04:00:00,41.6058
2023-07-08 04:30:00,43.652
2023-07-08 05:00:00,41.2518
2023-07-08 05:30:00,40.6496
2023-07-08 06:00:00,38.1878
2023-07-08 06:30:00,40.5886
2023-07-08 07:00:00,40.0583
2023-07-08 07:30:00,39.0739
2023-07-08 08:00:00,38.9287
2023-07-08 08:30:00,41.6997
2023-07-08 09:00:00,48.5515
2023-07-08 09:30:00,48.9081
2023-07-08 10:00:00,52.5365
2023-07-08 10:30:00,49.1942
2023-07-08 11:00:00,53.7757
2023-07-08 11:30:00,55.4881
2023-07-08 12:00:00,55.3362
2023-07-08 12:30:00,52.0628
2023-07-08 13:00:00,48.6663
2023-07-08 13:30:00,46.5465
2023-07-08 14:00:00,48.0454
2023-07-08 14:30:00,50.0649
2023-07-08 15:00:00,44.3817
2023-07-08 15:30:00,43.1973
2023-07-08 16:00:00,33.3848
2023-07-08 16:30:00,41.6517
2023-07-08 17:00:00,42.1775
2023-07-08 17:30:00,37.9138
2023-07-08 18:00:00,37.6973
2023-07-08 18:30:00,36.605
2023-07-08 19:00:00,36.5513
2023-07-08 19:30:00,37.0168
2023-07-08 20:00:00,38.4726
2023-07-08 20:30:00,35.3412
2023-07-08 21:00:00,37.7617
2023-07-08 21:30:00,39.1109
2023-07-08 22:00:00,37.5859
2023-07-08 22:30:00,37.471
2023-07-08 23:00:00,37.6219
2023-07-08 23:30:00,37.5728
2023-07-09 00:00:00,33.5511
2023-07-09 00:30:00,33.8337
2023-07-09 01:00:00,35.8256
2023-07-09 01:30:00,34.9883
2023-07-09 02:00:00,35.0317
2023-07-09 02:30:00,34.9505
2023-07-09 03:00:00,34.4737
2023-07-09 03:30:00,34.3428
2023-07-09 04:00:00,35.5544
2023-07-09 04:30:00,33.7903
2023-07-09 05:00:00,33.1674
2023-07-09 05:30:00,34.0247
2023-07-09 06:00:00,33.2977
